proto,port_src,port_dst,pkt_size,label
6,64844,22,74,1
6,64844,22,74,1
6,64844,22,74,1
6,64844,22,74,1
6,64844,22,66,1
6,64844,22,66,1
6,64844,22,81,1
6,64844,22,81,1
6,64844,22,66,1
6,64844,22,66,1
6,64844,22,714,1
6,64844,22,714,1
6,64844,22,66,1
6,64844,22,66,1
6,64844,22,338,1
6,64844,22,338,1
6,64844,22,66,1
6,64844,22,66,1
6,64844,22,82,1
6,64844,22,82,1
6,64844,22,118,1
6,64844,22,118,1
6,64844,22,134,1
6,64844,22,134,1
6,64844,22,150,1
6,64844,22,150,1
6,64844,22,166,1
6,64844,22,166,1
6,64844,22,150,1
6,64844,22,150,1
6,64844,22,118,1
6,64844,22,118,1
6,64844,22,66,1
6,64844,22,66,1
6,64844,22,66,1
6,64844,22,66,1
6,19029,80,74,1
6,19029,80,74,1
6,19029,80,66,1
6,19029,80,66,1
6,19029,80,454,1
6,19029,80,454,1
6,19029,80,66,1
6,19029,80,66,1
6,19029,80,509,1
6,19029,80,509,1
6,19029,80,66,1
6,19029,80,66,1
6,19029,80,66,1
6,19029,80,66,1
17,38450,151,316,1
17,38450,151,316,1
17,38450,151,316,1
17,38450,151,316,1
17,38450,151,325,1
17,38450,151,325,1
17,38450,151,325,1
17,38450,151,325,1
17,38450,151,380,1
17,38450,151,380,1
17,38450,151,380,1
17,38450,151,380,1
17,38450,151,390,1
17,38450,151,390,1
17,38450,151,390,1
17,38450,151,390,1
17,13715,194,314,1
17,13715,194,314,1
17,13715,194,314,1
17,13715,194,314,1
17,13715,194,323,1
17,13715,194,323,1
17,13715,194,323,1
17,13715,194,323,1
17,13715,194,378,1
17,13715,194,378,1
17,13715,194,378,1
17,13715,194,378,1
17,13715,194,388,1
17,13715,194,388,1
17,13715,194,388,1
17,13715,194,388,1
6,59716,443,66,1
6,59716,443,66,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,571,1
6,59716,443,571,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,180,1
6,59716,443,180,1
6,59716,443,231,1
6,59716,443,231,1
6,59716,443,1255,1
6,59716,443,1255,1
6,59716,443,179,1
6,59716,443,179,1
6,59716,443,152,1
6,59716,443,152,1
6,59716,443,152,1
6,59716,443,152,1
6,59716,443,161,1
6,59716,443,161,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,92,1
6,59716,443,92,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
6,59716,443,60,1
17,46298,447,386,1
17,46298,447,386,1
17,46298,447,452,1
17,46298,447,395,1
17,46298,447,452,1
17,46298,447,395,1
17,46298,447,438,1
17,46298,447,438,1
17,46298,447,466,1
17,46298,447,466,1
17,46298,447,450,1
17,46298,447,450,1
17,46298,447,386,1
17,46298,447,386,1
17,46298,447,395,1
17,46298,447,438,1
17,46298,447,395,1
17,46298,447,438,1
17,46298,447,466,1
17,46298,447,450,1
17,46298,447,466,1
17,46298,447,452,1
17,46298,447,450,1
17,46298,447,452,1
17,47533,564,317,1
17,47533,564,317,1
17,47533,564,317,1
17,47533,564,317,1
17,47533,564,326,1
17,47533,564,326,1
17,47533,564,326,1
17,47533,564,326,1
17,47533,564,381,1
17,47533,564,381,1
17,47533,564,381,1
17,47533,564,381,1
17,47533,564,391,1
17,47533,564,391,1
17,47533,564,391,1
17,47533,564,391,1
17,38700,816,317,1
17,38700,816,317,1
17,38700,816,317,1
17,38700,816,317,1
17,38700,816,326,1
17,38700,816,326,1
17,38700,816,326,1
17,38700,816,326,1
17,38700,816,381,1
17,38700,816,381,1
17,38700,816,381,1
17,38700,816,381,1
17,38700,816,391,1
17,38700,816,391,1
17,38700,816,391,1
17,38700,816,391,1
17,37176,876,386,1
17,37176,876,386,1
17,37176,876,395,1
17,37176,876,395,1
17,37176,876,438,1
17,37176,876,438,1
17,37176,876,466,1
